Latin	Basic Latin	0000-007F
Latin	Latin-1 Supplement	0080-00FF
Latin	Latin Extended-A	0100-017F
Latin	Latin Extended-B	0180-024F
IPA Extensions	IPA Extensions	0250-02AF
Spacing Modifier Letters	Spacing Modifier Letters	02B0-02FF
Combining Diacritical Marks	Combining Diacritical Marks	0300-036F
Greek and Coptic	Greek and Coptic	0370-03FF
Cyrillic	Cyrillic	0400-04FF
Cyrillic	Cyrillic Supplement	0500-052F
Armenian	Armenian	0530-058F
Hebrew	Hebrew	0590-05FF
Arabic	Arabic	0600-06FF
Syriac	Syriac	0700-074F
Arabic	Arabic Supplement	0750-077F
Thaana	Thaana	0780-07BF
N'Ko	N'Ko	07C0-07FF
Samaritan	Samaritan	0800-083F
Mandaic	Mandaic	0840-085F
Syriac	Syriac Supplement	0860-086F
Arabic	Arabic Extended-A	08A0-08FF
Devanagari	Devanagari	0900-097F
Bengali	Bengali	0980-09FF
Gurmukhi	Gurmukhi	0A00-0A7F
Gujarati	Gujarati	0A80-0AFF
Oriya	Oriya	0B00-0B7F
Tamil	Tamil	0B80-0BFF
Telugu	Telugu	0C00-0C7F
Kannada	Kannada	0C80-0CFF
Malayalam	Malayalam	0D00-0D7F
Sinhala	Sinhala	0D80-0DFF
Thai	Thai	0E00-0E7F
Lao	Lao	0E80-0EFF
Tibetan	Tibetan	0F00-0FFF
Myanmar	Myanmar	1000-109F
Georgian	Georgian	10A0-10FF
Hangul	Hangul Jamo	1100-11FF
Ethiopic	Ethiopic	1200-137F
Ethiopic	Ethiopic Supplement	1380-139F
Cherokee	Cherokee	13A0-13FF
Unified Canadian Aboriginal Syllabics	Unified Canadian Aboriginal Syllabics	1400-167F
Ogham	Ogham	1680-169F
Runic	Runic	16A0-16FF
Tagalog	Tagalog	1700-171F
Hanunoo	Hanunoo	1720-173F
Buhid	Buhid	1740-175F
Tagbanwa	Tagbanwa	1760-177F
Khmer	Khmer	1780-17FF
Mongolian	Mongolian	1800-18AF
Unified Canadian Aboriginal Syllabics	Unified Canadian Aboriginal Syllabics Extended	18B0-18FF
Limbu	Limbu	1900-194F
Tai Le	Tai Le	1950-197F
New Tai Lue	New Tai Lue	1980-19DF
Khmer Symbols	Khmer Symbols	19E0-19FF
Buginese	Buginese	1A00-1A1F
Tai Tham	Tai Tham	1A20-1AAF
Combining Diacritical Marks Extended	Combining Diacritical Marks Extended	1AB0-1AFF
Balinese	Balinese	1B00-1B7F
Sundanese	Sundanese	1B80-1BBF
Batak	Batak	1BC0-1BFF
Lepcha	Lepcha	1C00-1C4F
Ol Chiki	Ol Chiki	1C50-1C7F
Cyrillic	Cyrillic Extended-C	1C80-1C8F
Georgian	Georgian Extended	1C90-1CBF
Sundanese	Sundanese Supplement	1CC0-1CCF
Vedic	Vedic Extensions	1CD0-1CFF
Phonetic Extensions	Phonetic Extensions	1D00-1D7F
Phonetic Extensions	Phonetic Extensions Supplement	1D80-1DBF
Combining Diacritical Marks Supplement	Combining Diacritical Marks Supplement	1DC0-1DFF
Latin	Latin Extended Additional	1E00-1EFF
Greek	Greek Extended	1F00-1FFF
Punctuation	General Punctuation	2000-206F
Superscripts and Subscripts	Superscripts and Subscripts	2070-209F
Currency Symbols	Currency Symbols	20A0-20CF
Combining Diacritical Marks for Symbols	Combining Diacritical Marks for Symbols	20D0-20FF
Letterlike Symbols	Letterlike Symbols	2100-214F
Number Forms	Number Forms	2150-218F
Arrows	Arrows	2190-21FF
Mathematical	Mathematical Operators	2200-22FF
Miscellaneous Technical	Miscellaneous Technical	2300-23FF
Control Pictures	Control Pictures	2400-243F
Optical Character Recognition	Optical Character Recognition	2440-245F
Enclosed Alphanumerics	Enclosed Alphanumerics	2460-24FF
Box Drawing	Box Drawing	2500-257F
Block Elements	Block Elements	2580-259F
Geometric Shapes	Geometric Shapes	25A0-25FF
Miscellaneous Symbols	Miscellaneous Symbols	2600-26FF
Dingbats	Dingbats	2700-27BF
Mathematical	Miscellaneous Mathematical Symbols-A	27C0-27EF
Supplemental Arrows-A	Supplemental Arrows-A	27F0-27FF
Braille Patterns	Braille Patterns	2800-28FF
Supplemental Arrows-B	Supplemental Arrows-B	2900-297F
Mathematical	Miscellaneous Mathematical Symbols-B	2980-29FF
Mathematical	Supplemental Mathematical Operators	2A00-2AFF
Miscellaneous Symbols and Arrows	Miscellaneous Symbols and Arrows	2B00-2BFF
Glagolitic	Glagolitic	2C00-2C5F
Latin	Latin Extended-C	2C60-2C7F
Coptic	Coptic	2C80-2CFF
Georgian	Georgian Supplement	2D00-2D2F
